time;x;y;z
2025-09-03 22:02:38.892541;-1,728614;0,885855;9,327810
2025-09-03 22:02:39.296273;-1,788469;0,720655;9,258378
2025-09-03 22:02:39.694000;-1,877054;0,586579;9,299079
2025-09-03 22:02:40.092932;-1,927332;0,603339;9,375694
2025-09-03 22:02:40.494502;-1,848324;0,325611;9,282320
2025-09-03 22:02:40.893952;-1,891419;0,478840;9,363723
2025-09-03 22:02:41.291606;-1,489193;-0,081403;9,267955
2025-09-03 22:02:41.690785;-1,740585;0,150835;9,425972
2025-09-03 22:02:42.092523;-2,221819;0,234632;9,184157
2025-09-03 22:02:42.491335;-2,181118;-0,131681;9,160215
2025-09-03 22:02:42.891696;-2,056619;-0,023942;9,172187
2025-09-03 22:02:43.291250;-2,063802;-0,069432;9,248801
2025-09-03 22:02:43.693422;-1,996764;0,007183;9,042900
2025-09-03 22:02:44.091453;-2,085350;0,004788;9,248801
2025-09-03 22:02:44.491669;-2,102109;0,112527;9,255983
2025-09-03 22:02:44.890516;-2,229002;0,129287;9,191340
2025-09-03 22:02:45.291833;-2,111686;0,141258;9,279925
2025-09-03 22:02:48.149923;-2,070984;-0,184354;9,234436
2025-09-03 22:02:51.349202;-1,843535;0,584185;9,222465
2025-09-03 22:02:54.565612;5,051765;2,557007;7,699753
2025-09-03 22:03:00.313226;-1,434127;0,318429;9,291897
2025-09-03 22:03:03.506448;-1,817199;-1,391031;9,097966
2025-09-03 22:03:06.706639;-0,720655;-1,242591;9,301474
2025-09-03 22:03:09.425280;-1,221043;-2,439692;9,064447
2025-09-03 22:03:09.827456;-1,371878;-2,169147;9,045294
2025-09-03 22:03:10.549164;-1,225831;-0,047884;7,627927
2025-09-03 22:03:13.751830;-2,173935;-10,426748;2,489970
2025-09-03 22:03:18.549011;-0,794875;-2,080561;9,105149
2025-09-04 17:39:21.921226;0,088585;2,473210;9,251195
2025-09-04 17:39:25.115426;0,280122;1,742979;9,445126
2025-09-04 17:39:28.314327;1,498770;1,977611;9,471462
2025-09-04 17:39:31.516963;0,320823;2,482787;9,636662
2025-09-04 17:39:33.455546;0,519542;1,367089;9,569624
2025-09-04 17:39:33.856296;0,684742;1,266533;9,334992
2025-09-04 17:39:34.259434;0,512359;1,436521;9,445126
2025-09-04 17:39:34.658996;-1,170765;3,847482;9,598354
2025-09-04 17:39:35.060282;-0,050278;6,967127;11,875240
2025-09-04 17:39:35.460605;-3,066972;3,392584;9,756371
2025-09-04 17:39:35.861036;-1,982399;3,775656;8,446744
2025-09-04 17:39:36.260398;-0,742203;-4,118027;7,841011
2025-09-04 17:39:36.660459;-1,302446;-1,666364;8,097190
2025-09-04 17:39:37.059797;-0,694318;-2,896984;9,236830
2025-09-04 17:39:37.459606;2,030283;-1,240196;9,727641
2025-09-04 17:39:37.860155;-0,802058;2,272097;10,929531
2025-09-04 17:39:38.259883;-0,914585;-3,265691;6,868965
2025-09-04 17:39:38.659245;-7,290344;-0,746991;7,036559
2025-09-04 17:39:39.059615;3,483563;2,336741;6,373365
2025-09-04 17:39:39.458538;7,426814;-7,668628;5,832275
2025-09-04 17:40:35.114044;5,456386;-2,226608;7,848193
2025-09-06 02:56:16.493009;7,141904;-3,102885;4,802769
2025-09-06 02:56:16.527075;1,003170;-8,887277;-5,798757
2025-09-06 02:56:16.536342;1,419762;1,130063;13,220781
2025-09-06 02:56:16.547781;-8,365341;-1,364695;4,120421
2025-09-06 02:56:16.554812;7,015011;4,249708;4,683059
2025-09-06 02:56:16.567355;-4,721366;-7,915231;-3,203442
2025-09-06 02:56:16.573415;-4,709395;-7,797915;-2,353500
2025-09-06 02:56:16.581236;-4,821922;-8,219295;-1,479617
